DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 3.53361, -79.504, -20.337, Rotor position possibly out of range
 3.53361, 245.204,  -8.000, Moon position possibly out of range
 3.55028, 245.381,   8.052, Off source in elevation
 3.55028, -79.681,  -4.281, Rotor position possibly out of range
 3.55028, 245.381,   8.052, Moon position possibly out of range
 3.56694, 245.557,   7.948, Off source in elevation
 3.56694, -79.857,  -4.382, Rotor position possibly out of range
 3.56694, 245.557,   7.948, Moon position possibly out of range
 3.58361, 245.734,   7.842, Off source in elevation
 3.58361, -80.034,  -4.485, Rotor position possibly out of range
 3.58361, 245.734,   7.842, Moon position possibly out of range
 3.60028, 245.910,  -2.267, On source in elevation
 3.60028, -80.210, -14.591, Rotor position possibly out of range
 3.60028, 245.910,  -2.267, Moon position possibly out of range
 3.61694, 246.086,  -2.380, On source in elevation
 3.61694, -80.386, -14.701, Rotor position possibly out of range
 3.61694, 246.086,  -2.380, Moon position possibly out of range
 3.63361, 246.262,  -2.501, On source in elevation
 3.63361, -80.562, -14.818, Rotor position possibly out of range
 3.63361, 246.262,  -2.501, Moon position possibly out of range
 3.65028, 246.437,   7.369, Off source in elevation
 3.65028, -80.737,  -4.945, Rotor position possibly out of range
 3.65028, 246.437,   7.369, Moon position possibly out of range
 3.66694, 246.613,   7.224, Off source in elevation
 3.66694, -80.913,  -5.087, Rotor position possibly out of range
 3.66694, 246.613,   7.224, Moon position possibly out of range
 3.68361, 246.788,   7.055, Off source in elevation
 3.68361, -81.088,  -5.253, Rotor position possibly out of range
 3.68361, 246.788,   7.055, Moon position possibly out of range
 3.70028, 246.964,  -3.156, On source in elevation
 3.70028, -81.264, -15.460, Rotor position possibly out of range
 3.70028, 246.964,  -3.156, Moon position possibly out of range
 3.71694, 247.139,  -3.438, On source in elevation
 3.71694, -81.439, -15.739, Rotor position possibly out of range
 3.71694, 247.139,  -3.438, Moon position possibly out of range
 3.73361, 247.314,  -3.799, On source in elevation
 3.73361, -81.614, -16.098, Rotor position possibly out of range
 3.73361, 247.314,  -3.799, Moon position possibly out of range
