start_scan_UTC,end_scan_UTC,amplitude_fit,delta_azi_fit,delta_ele_fit,sigma_azi_fit,sigma_ele_fit,aziref,eleref,quality_check
2025-04-11 12:59:00,2025-04-11 13:00:00,149.10273401824605,-0.226417209773335,-0.1265138046466015,1.4428956791917718,1.158684174440666,182.4,60.5,1
2025-04-11 13:59:00,2025-04-11 14:00:00,148.79808134737718,0.2495169541930908,-0.1352493670172216,1.1203993780307415,1.181166809945844,182.4,60.5,1
2025-04-12 08:59:00,2025-04-12 09:00:00,150.47915370472745,0.1217221594408985,0.0351521182451359,1.3045230149791465,1.1840262535327826,182.4,60.5,1
2025-04-12 09:59:00,2025-04-12 10:00:00,150.92944408082587,-0.355770166645503,-0.0450613946883262,1.385397411500539,1.188448233722796,182.4,60.5,1
2025-04-12 10:59:00,2025-04-12 11:00:00,150.02146304544817,-0.7781636795902285,-0.1106643051517891,1.4694491909242873,1.18699397348029,182.4,60.5,0
2025-04-12 11:59:00,2025-04-12 12:00:00,150.99306473062896,-0.7193840319873747,-0.1534349292532994,1.452032652156476,1.147972035091428,182.4,60.5,0
2025-04-12 12:59:00,2025-04-12 13:00:00,151.06574320321846,-0.2476468286827909,-0.1495082179255724,1.4121774724628748,1.1400600055929648,182.4,60.5,1
2025-04-12 13:59:00,2025-04-12 14:00:00,149.45942417346453,0.2837168148058505,-0.1864136430600548,1.1511120869517326,1.2174285334886292,182.4,60.5,1
2025-04-13 08:59:00,2025-04-13 09:00:00,151.75259634925422,0.0016737287140907,-0.0193807739257803,1.3279640871583434,1.2878908609567337,182.4,60.5,1
2025-04-13 09:59:00,2025-04-13 10:00:00,151.96015671132682,-0.5925937575171062,-0.1014045450666171,1.574110490171986,1.192883462518445,182.4,60.5,1
2025-04-13 10:59:00,2025-04-13 11:00:00,151.75939279040728,-0.6502315322567087,-0.1171582832320912,1.2909953493019364,1.1466582894301562,182.4,60.5,1
2025-04-13 11:59:00,2025-04-13 12:00:00,151.96931676806875,-0.6521349684732897,-0.168930217887382,1.3133763311716025,1.150639947495889,182.4,60.5,1
2025-04-13 12:59:00,2025-04-13 13:00:00,151.42235366407394,-0.2715750074914721,-0.2257730252533001,1.4689045188647465,1.1336249831773133,182.4,60.5,1
2025-04-13 13:59:00,2025-04-13 14:00:00,150.7988983307692,0.1693455372685258,-0.2123042430781285,1.115458542860728,1.1754378079741383,182.4,60.5,1
2025-04-14 08:59:00,2025-04-14 09:00:00,151.43518213624543,0.0088701121806758,-0.0300422146564682,1.3668874961431663,1.2253724637435497,182.4,60.5,1
2025-04-14 09:59:00,2025-04-14 10:00:00,151.28333185288497,-0.4967357195801458,-0.1048348868974659,1.454153278746834,1.2537729441972312,182.4,60.5,1
2025-04-14 10:59:00,2025-04-14 11:00:00,151.31094663464228,-0.909406531676164,-0.1575808411152803,1.473105639704304,1.2555213397879406,182.4,60.5,0
2025-04-14 11:59:00,2025-04-14 12:00:00,151.06103221753355,-0.7174628168746447,-0.1643399298207139,1.324551255850191,1.201935239771163,182.4,60.5,0
2025-04-14 12:59:00,2025-04-14 13:00:00,151.32187070177469,-0.2978191047918691,-0.1867697103330319,1.4215577494955782,1.1811336377542885,182.4,60.5,1
2025-04-14 13:59:00,2025-04-14 14:00:00,151.04139740051363,0.2173736233494417,-0.2115289719260792,1.1105886843709651,1.24863764252607,182.4,60.5,1
2025-04-15 08:59:00,2025-04-15 09:00:00,149.9149919208118,-0.0319149581155275,-0.0085801771438568,1.6912088476577265,1.495858619066414,182.4,60.5,1
2025-04-15 09:59:00,2025-04-15 10:00:00,149.81286296445754,-0.2834773681648396,-0.1288424423733006,1.5205821045793095,1.4510748509766729,182.4,60.5,1
2025-04-15 10:59:00,2025-04-15 11:00:00,149.2747619110613,-0.7229274282176867,-0.1979399457840677,1.7995753817419102,1.5419613364455669,182.4,60.5,0
2025-04-15 11:59:00,2025-04-15 12:00:00,149.48499942773628,-0.5950322965631811,-0.159451804715102,1.6205765006142632,1.386118486857039,182.4,60.5,1
