# DiSEqC radio telescope tracker
# Author: Christian Monstein, HB9SCT
# Version: 2023-04-27
# Reference positions: Azimuth= 186.300 deg, Elevation=  60.500 deg

TIME [UT];Real azimuth [deg];Real elevation [deg];Rotor azimuth [deg];Rotor elevation [deg]; Message
13.03529; 203.758;  17.995; -17.458; -42.507;Commanded position az=-17.458, el=-42.507
13.03585; 203.758;  17.495; -17.458; -43.007;Commanded position az=-17.458, el=-43.007
13.03640; 203.758;  16.995; -17.458; -43.507;Commanded position az=-17.458, el=-43.507
13.03696; 203.758;  16.495; -17.458; -44.007;Commanded position az=-17.458, el=-44.007
13.03752; 203.758;  15.995; -17.458; -44.507;Commanded position az=-17.458, el=-44.507
13.03807; 203.758;  15.495; -17.458; -45.007;Commanded position az=-17.458, el=-45.007
13.03863; 203.758;  14.995; -17.458; -45.507;Commanded position az=-17.458, el=-45.507
13.03919; 203.758;  14.495; -17.458; -46.007;Commanded position az=-17.458, el=-46.007
13.03974; 203.758;  13.995; -17.458; -46.507;Commanded position az=-17.458, el=-46.507
13.04030; 203.758;  13.495; -17.458; -47.007;Commanded position az=-17.458, el=-47.007
13.04086; 203.758;  12.995; -17.458; -47.507;Commanded position az=-17.458, el=-47.507
13.04141; 204.258;  12.995; -17.958; -47.507;Commanded position az=-17.958, el=-47.507
13.04197; 204.258;  13.495; -17.958; -47.007;Commanded position az=-17.958, el=-47.007
13.04253; 204.258;  13.995; -17.958; -46.507;Commanded position az=-17.958, el=-46.507
13.04308; 204.258;  14.495; -17.958; -46.007;Commanded position az=-17.958, el=-46.007
13.04364; 204.258;  14.995; -17.958; -45.507;Commanded position az=-17.958, el=-45.507
13.04420; 204.258;  15.495; -17.958; -45.007;Commanded position az=-17.958, el=-45.007
13.04475; 204.258;  15.995; -17.958; -44.507;Commanded position az=-17.958, el=-44.507
13.04531; 204.258;  16.495; -17.958; -44.007;Commanded position az=-17.958, el=-44.007
13.04587; 204.258;  16.995; -17.958; -43.507;Commanded position az=-17.958, el=-43.507
13.04642; 204.258;  17.495; -17.958; -43.007;Commanded position az=-17.958, el=-43.007
13.04698; 204.258;  17.995; -17.958; -42.507;Commanded position az=-17.958, el=-42.507
13.04754; 204.258;  18.495; -17.958; -42.007;Commanded position az=-17.958, el=-42.007
13.04809; 204.258;  18.995; -17.958; -41.507;Commanded position az=-17.958, el=-41.507
13.04865; 204.258;  19.495; -17.958; -41.007;Commanded position az=-17.958, el=-41.007
13.04921; 204.258;  19.995; -17.958; -40.507;Commanded position az=-17.958, el=-40.507
13.04976; 204.258;  20.495; -17.958; -40.007;Commanded position az=-17.958, el=-40.007
13.05032; 204.258;  20.995; -17.958; -39.507;Commanded position az=-17.958, el=-39.507
13.05088; 204.258;  21.495; -17.958; -39.007;Commanded position az=-17.958, el=-39.007
13.05143; 204.258;  21.995; -17.958; -38.507;Commanded position az=-17.958, el=-38.507
13.05199; 204.258;  22.495; -17.958; -38.007;Commanded position az=-17.958, el=-38.007
13.05255; 204.258;  22.995; -17.958; -37.507;Commanded position az=-17.958, el=-37.507
13.05310; 204.758;  22.995; -18.458; -37.507;Commanded position az=-18.458, el=-37.507
13.05366; 204.758;  22.495; -18.458; -38.007;Commanded position az=-18.458, el=-38.007
13.05422; 204.758;  21.995; -18.458; -38.507;Commanded position az=-18.458, el=-38.507
13.05477; 204.758;  21.495; -18.458; -39.007;Commanded position az=-18.458, el=-39.007
13.05533; 204.758;  20.995; -18.458; -39.507;Commanded position az=-18.458, el=-39.507
13.05589; 204.758;  20.495; -18.458; -40.007;Commanded position az=-18.458, el=-40.007
13.05644; 204.758;  19.995; -18.458; -40.507;Commanded position az=-18.458, el=-40.507
13.05700; 204.758;  19.495; -18.458; -41.007;Commanded position az=-18.458, el=-41.007
13.05756; 204.758;  18.995; -18.458; -41.507;Commanded position az=-18.458, el=-41.507
13.05811; 204.758;  18.495; -18.458; -42.007;Commanded position az=-18.458, el=-42.007
13.05867; 204.758;  17.995; -18.458; -42.507;Commanded position az=-18.458, el=-42.507
13.05923; 204.758;  17.495; -18.458; -43.007;Commanded position az=-18.458, el=-43.007
13.05978; 204.758;  16.995; -18.458; -43.507;Commanded position az=-18.458, el=-43.507
13.06034; 204.758;  16.495; -18.458; -44.007;Commanded position az=-18.458, el=-44.007
13.06090; 204.758;  15.995; -18.458; -44.507;Commanded position az=-18.458, el=-44.507
13.06145; 204.758;  15.495; -18.458; -45.007;Commanded position az=-18.458, el=-45.007
13.06201; 204.758;  14.995; -18.458; -45.507;Commanded position az=-18.458, el=-45.507
13.06257; 204.758;  14.495; -18.458; -46.007;Commanded position az=-18.458, el=-46.007
13.06312; 204.758;  13.995; -18.458; -46.507;Commanded position az=-18.458, el=-46.507
13.06368; 204.758;  13.495; -18.458; -47.007;Commanded position az=-18.458, el=-47.007
13.06424; 204.758;  12.995; -18.458; -47.507;Commanded position az=-18.458, el=-47.507
13.06479; 205.258;  12.995; -18.958; -47.507;Commanded position az=-18.958, el=-47.507
13.06535; 205.258;  13.495; -18.958; -47.007;Commanded position az=-18.958, el=-47.007
13.06591; 205.258;  13.995; -18.958; -46.507;Commanded position az=-18.958, el=-46.507
13.06646; 205.258;  14.495; -18.958; -46.007;Commanded position az=-18.958, el=-46.007
13.06702; 205.258;  14.995; -18.958; -45.507;Commanded position az=-18.958, el=-45.507
13.06758; 205.258;  15.495; -18.958; -45.007;Commanded position az=-18.958, el=-45.007
13.06813; 205.258;  15.995; -18.958; -44.507;Commanded position az=-18.958, el=-44.507
13.06869; 205.258;  16.495; -18.958; -44.007;Commanded position az=-18.958, el=-44.007
13.06925; 205.258;  16.995; -18.958; -43.507;Commanded position az=-18.958, el=-43.507
13.06980; 205.258;  17.495; -18.958; -43.007;Commanded position az=-18.958, el=-43.007
13.07036; 205.258;  17.995; -18.958; -42.507;Commanded position az=-18.958, el=-42.507
13.07092; 205.258;  18.495; -18.958; -42.007;Commanded position az=-18.958, el=-42.007
13.07147; 205.258;  18.995; -18.958; -41.507;Commanded position az=-18.958, el=-41.507
13.07203; 205.258;  19.495; -18.958; -41.007;Commanded position az=-18.958, el=-41.007
13.07259; 205.258;  19.995; -18.958; -40.507;Commanded position az=-18.958, el=-40.507
13.07314; 205.258;  20.495; -18.958; -40.007;Commanded position az=-18.958, el=-40.007
13.07370; 205.258;  20.995; -18.958; -39.507;Commanded position az=-18.958, el=-39.507
13.07426; 205.258;  21.495; -18.958; -39.007;Commanded position az=-18.958, el=-39.007
13.07481; 205.258;  21.995; -18.958; -38.507;Commanded position az=-18.958, el=-38.507
13.07537; 205.258;  22.495; -18.958; -38.007;Commanded position az=-18.958, el=-38.007
13.07593; 205.258;  22.995; -18.958; -37.507;Commanded position az=-18.958, el=-37.507
13.07648; 205.758;  22.995; -19.458; -37.507;Commanded position az=-19.458, el=-37.507
13.07704; 205.758;  22.495; -19.458; -38.007;Commanded position az=-19.458, el=-38.007
13.07760; 205.758;  21.995; -19.458; -38.507;Commanded position az=-19.458, el=-38.507
13.07815; 205.758;  21.495; -19.458; -39.007;Commanded position az=-19.458, el=-39.007
13.07871; 205.758;  20.995; -19.458; -39.507;Commanded position az=-19.458, el=-39.507
13.07927; 205.758;  20.495; -19.458; -40.007;Commanded position az=-19.458, el=-40.007
