DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT]; Azimuth[deg]; Elevation[deg]; Message
 8.84787;  39.447; -38.651; Commanded position az=39.447, el=-38.651
 8.84808;  39.447; -38.151; Commanded position az=39.447, el=-38.151
 8.84829;  39.447; -37.651; Commanded position az=39.447, el=-37.651
 8.84850;  39.447; -37.151; Commanded position az=39.447, el=-37.151
 8.84871;  38.947; -37.151; Commanded position az=38.947, el=-37.151
 8.84892;  38.947; -37.651; Commanded position az=38.947, el=-37.651
 8.84913;  38.947; -38.151; Commanded position az=38.947, el=-38.151
 8.84934;  38.947; -38.651; Commanded position az=38.947, el=-38.651
 8.84955;  38.947; -39.151; Commanded position az=38.947, el=-39.151
 8.84976;  38.947; -39.651; Commanded position az=38.947, el=-39.651
 8.84997;  38.947; -40.151; Commanded position az=38.947, el=-40.151
 8.85018;  38.947; -40.651; Commanded position az=38.947, el=-40.651
 8.85039;  38.947; -41.151; Commanded position az=38.947, el=-41.151
 8.85060;  38.947; -41.651; Commanded position az=38.947, el=-41.651
 8.85080;  38.947; -42.151; Commanded position az=38.947, el=-42.151
 8.85101;  38.947; -42.651; Commanded position az=38.947, el=-42.651
